"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:52 GMT 2023","9","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullUser","shouldThrowExceptionWhenLoginWithNullUser()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullPassword","shouldThrowExceptionWhenLoginWithNullPassword()",""
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:52 GMT 2023","8","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Fri Sep 15 14:15:51 GMT 2023","Fri Sep 15 14:15:51 GMT 2023","23","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","shouldRetrieveTestUser","shouldRetrieveTestUser()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullEmail","shouldThrowExceptionWhenCreateWithNullEmail()",""
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","29","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","7","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullEmail","shouldThrowExceptionWhenLoginWithNullEmail()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:52 GMT 2023","174","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullPassword","shouldThrowExceptionWhenCreateWithNullPassword()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:52 GMT 2023","220","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"passed","Fri Sep 15 14:15:50 GMT 2023","Fri Sep 15 14:15:51 GMT 2023","730","","br.com.santocodigo.demotests.DemotestsApplicationTest","","br.com.santocodigo.demotests.DemotestsApplicationTest","main","main()",""
"passed","Fri Sep 15 14:15:53 GMT 2023","Fri Sep 15 14:15:53 GMT 2023","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Fri Sep 15 14:15:52 GMT 2023","Fri Sep 15 14:15:52 GMT 2023","8","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
